CustomerID,CustomerName,Region,SignupDate
C0001,Lawrence Carroll,South America,10-07-2022
C0002,Elizabeth Lutz,Asia,13-02-2022
C0003,Michael Rivera,South America,07-03-2024
C0004,Kathleen Rodriguez,South America,09-10-2022
C0005,Laura Weber,Asia,15-08-2022
C0006,Brittany Palmer,South America,07-01-2024
C0007,Paul Graves,Asia,18-06-2022
C0008,David Li,North America,13-01-2024
C0009,Joy Clark,Europe,14-08-2023
C0010,Aaron Cox,Europe,15-12-2022
C0011,Bryan Mathews,South America,12-12-2022
C0012,Kevin May,South America,07-08-2024
C0013,Lauren Buchanan,South America,19-05-2024
C0014,Deborah Wilcox,Europe,22-06-2024
C0015,Tina Duran,North America,20-11-2023
C0016,Emily Woods,North America,03-01-2024
C0017,Jennifer King,Europe,05-12-2023
C0018,Tyler Haynes,North America,21-09-2024
C0019,Brandon Rodriguez,Europe,12-01-2023
C0020,Mr. Manuel Conway,North America,11-06-2024
C0021,Robert Blanchard,Asia,17-04-2023
C0022,Teresa Esparza,Asia,27-10-2023
C0023,Nicholas Cain,Europe,04-03-2022
C0024,Michele Cooley,North America,05-02-2024
C0025,Gregory Odom,South America,04-07-2022
C0026,Sara Miller,North America,03-05-2024
C0027,Justin Heath,Asia,09-11-2022
C0028,Jennifer Pena,Asia,29-06-2024
C0029,Erin Manning,North America,16-04-2022
C0030,Mark Brock,North America,30-01-2024
C0031,Tina Miller,South America,11-04-2024
C0032,Dustin Campbell,South America,17-04-2024
C0033,Tyler Holt,North America,04-08-2024
C0034,Dalton Perez,North America,27-09-2023
C0035,Brianna Richardson,North America,01-10-2024
C0036,Brian Aguilar DDS,North America,06-07-2024
C0037,Linda Smith,Europe,04-02-2023
C0038,Jeffrey Perkins,North America,16-04-2022
C0039,Angela Harris,South America,13-10-2024
C0040,Michael Harrell,Asia,07-03-2022
C0041,Lindsey Deleon,Europe,27-12-2023
C0042,Heather Riley,North America,15-03-2023
C0043,Sandy Short MD,Asia,05-02-2023
C0044,Kenneth Alexander,Europe,10-07-2024
C0045,Michael Williams,Asia,25-02-2022
C0046,Beth Cardenas,North America,23-10-2024
C0047,Samantha Frank,North America,22-03-2024
C0048,Matthew Park,South America,07-11-2024
C0049,Jason Yates,North America,18-09-2024
C0050,Ryan Davis,North America,02-03-2024
C0051,Nicholas Ellis,Europe,21-12-2023
C0052,Stanley Aguirre,South America,20-02-2024
C0053,Albert Burke,Europe,18-06-2022
C0054,Bruce Rhodes,Asia,29-09-2024
C0055,Lauren Williams,North America,11-11-2024
C0056,Erika Fernandez,Asia,12-04-2024
C0057,Elizabeth Nguyen,Europe,27-07-2024
C0058,Zachary Turner,North America,28-01-2024
C0059,Mrs. Kimberly Wright,North America,07-04-2024
C0060,James Murphy,Europe,22-04-2022
C0061,Brandon Escobar,Europe,06-03-2023
C0062,Jeffery Hartman,Europe,14-12-2022
C0063,Wayne Ferguson,Europe,05-02-2024
C0064,Martha Montgomery,Europe,22-10-2023
C0065,Gerald Hines,North America,10-07-2024
C0066,Catherine White,Europe,15-11-2024
C0067,Carl Gonzalez,North America,06-07-2023
C0068,Mark Cox,North America,04-04-2023
C0069,Stacy Foster,Europe,03-12-2023
C0070,Timothy Perez,Europe,15-03-2022
C0071,Taylor Murphy,South America,01-07-2022
C0072,Sarah Scott,North America,24-07-2024
C0073,Heidi Johnson,Europe,20-08-2022
C0074,Jonathan Russo,Europe,27-05-2022
C0075,Misty Higgins,Europe,01-05-2023
C0076,Emily Roberts,South America,11-02-2024
C0077,Scott Sims,South America,18-10-2023
C0078,Julia Palmer,Asia,13-11-2024
C0079,Brian Murillo,North America,02-02-2022
C0080,David Gonzalez,Asia,07-02-2024
C0081,Kimberly Turner,Europe,24-02-2024
C0082,Aimee Taylor,South America,13-05-2022
C0083,Christina Stark,South America,07-04-2022
C0084,Belinda Garner,Asia,17-09-2024
C0085,Richard Brown,South America,22-09-2024
C0086,Stephanie Peterson,Europe,18-09-2022
C0087,Travis Campbell,South America,11-04-2024
C0088,Carlos Murray,Asia,14-05-2023
C0089,Paul Carter,Europe,02-04-2024
C0090,Charles Hamilton,Asia,17-10-2023
C0091,Lisa Kirk,South America,16-03-2023
C0092,Jacqueline Zamora,Asia,29-05-2024
C0093,Nancy Walker,Asia,13-07-2024
C0094,Emily Trevino,North America,16-09-2023
C0095,William Walker,South America,04-03-2023
C0096,Benjamin Mcclure,South America,18-11-2022
C0097,Tina Ford,Asia,18-12-2023
C0098,Laura Gilbert,North America,21-10-2024
C0099,Rodney Eaton,South America,29-01-2023
C0100,Clinton Gomez,Europe,16-03-2023
C0101,Kelsey Roberts,Asia,30-09-2023
C0102,Michael Atkinson,South America,16-09-2022
C0103,Jennifer Munoz,Europe,15-05-2022
C0104,Laura Bennett,South America,10-02-2022
C0105,Ryan Hampton,Europe,11-11-2024
C0106,Amanda Mcguire,Asia,22-09-2022
C0107,Dana Cantrell,South America,07-02-2023
C0108,David Davis,South America,28-09-2022
C0109,Abigail Jones,North America,09-05-2022
C0110,Elizabeth Wells,Asia,21-09-2024
C0111,Roger David,Europe,13-11-2024
C0112,Brian Adkins,South America,07-07-2022
C0113,Joseph Ortiz Jr.,South America,17-06-2022
C0114,Benjamin Anderson,Europe,18-11-2024
C0115,Joshua Hamilton,Asia,11-11-2024
C0116,James Martinez,North America,11-09-2024
C0117,Jeffrey Mcmahon,North America,22-11-2024
C0118,Jacob Holt,South America,22-01-2022
C0119,David Armstrong,Europe,13-11-2023
C0120,Francisco Diaz,South America,13-01-2023
C0121,Mark Atkinson,Europe,23-07-2023
C0122,Corey Ruiz,North America,06-05-2022
C0123,Jason Johnston,Asia,05-11-2023
C0124,Lindsay Perez,Europe,26-08-2024
C0125,Nicholas Taylor,North America,18-12-2022
C0126,Caitlin Brown,South America,20-02-2024
C0127,Kathryn Stevens,Europe,04-04-2024
C0128,Henry Leach,Asia,29-05-2023
C0129,Marcus Livingston,South America,14-04-2024
C0130,Robert Jones,South America,19-04-2023
C0131,Scott Wilson,North America,05-06-2022
C0132,Lisa Jackson,Europe,01-02-2023
C0133,Gwendolyn Carter,South America,11-03-2023
C0134,Theresa Gonzalez,Asia,19-02-2022
C0135,Toni Weaver,Europe,23-08-2022
C0136,Kristen Holder,Asia,14-03-2024
C0137,Robert Gardner,South America,09-04-2024
C0138,Cynthia Clayton,Asia,01-11-2024
C0139,Ricky Gutierrez,North America,14-03-2022
C0140,Gregory Estrada,Asia,01-07-2023
C0141,Paul Parsons,Europe,23-02-2023
C0142,Nicole Long DVM,Asia,08-02-2024
